,classify
1597,2
1598,0
1599,3
1600,3
1601,3
1602,1
1603,1
1604,3
1605,4
1606,3
1607,1
1608,4
1609,4
1610,3
1611,1
1612,1
1613,2
1614,1
1615,1
1616,3
1617,0
1618,3
1619,1
1620,3
1621,1
1622,3
1623,1
1624,4
1625,3
1626,1
1627,4
1628,3
1629,3
1630,2
1631,3
1632,3
1633,3
1634,0
1635,4
1636,1
1637,4
1638,1
1639,1
1640,2
1641,1
1642,2
1643,3
1644,1
1645,2
1646,0
1647,2
1648,1
1649,3
1650,2
1651,1
1652,3
1653,3
1654,3
1655,3
1656,1
1657,3
1658,1
1659,1
1660,1
1661,0
1662,3
1663,1
1664,3
1665,1
1666,3
1667,2
1668,2
1669,4
1670,3
1671,3
1672,4
1673,1
1674,4
1675,4
1676,2
1677,1
1678,1
1679,0
1680,2
1681,1
1682,3
1683,1
1684,3
1685,2
1686,4
1687,2
1688,0
1689,3
1690,0
1691,4
1692,1
1693,2
1694,4
1695,1
1696,0
1697,1
1698,1
1699,4
1700,3
1701,0
1702,2
1703,3
1704,1
1705,0
1706,4
1707,3
1708,1
1709,3
1710,0
1711,4
1712,3
1713,1
1714,1
1715,1
1716,4
1717,2
1718,3
1719,3
1720,0
1721,2
1722,2
1723,1
1724,3
1725,3
1726,1
1727,4
1728,3
1729,3
1730,0
1731,1
1732,3
1733,3
1734,3
1735,2
1736,1
1737,3
1738,2
1739,1
1740,4
1741,1
1742,4
1743,2
1744,1
1745,3
1746,3
1747,1
1748,3
1749,4
1750,1
1751,4
1752,3
1753,0
1754,3
1755,4
1756,1
1757,1
1758,2
1759,3
1760,1
1761,0
1762,2
1763,3
1764,2
1765,2
1766,1
1767,3
1768,2
1769,1
1770,2
1771,4
1772,1
1773,0
1774,3
1775,3
1776,3
1777,3
1778,2
1779,4
1780,1
1781,4
1782,3
1783,1
1784,2
1785,2
1786,1
1787,3
1788,3
1789,2
1790,4
1791,4
1792,2
1793,4
1794,1
1795,3
1796,3
1797,2
1798,0
1799,2
1800,0
1801,2
1802,1
1803,4
1804,2
1805,4
1806,4
1807,4
1808,3
1809,3
1810,1
1811,2
1812,1
1813,1
1814,3
1815,1
1816,3
1817,1
1818,3
1819,4
1820,1
1821,1
1822,1
1823,3
1824,2
1825,4
1826,1
1827,2
1828,1
1829,3
1830,1
1831,4
1832,1
1833,3
1834,2
1835,3
1836,0
1837,1
1838,0
1839,4
1840,1
1841,2
1842,1
1843,2
1844,4
1845,4
1846,1
1847,1
1848,2
1849,2
1850,4
1851,1
1852,2
1853,3
1854,1
1855,1
1856,2
1857,1
1858,0
1859,2
1860,3
1861,4
1862,3
1863,3
1864,3
1865,1
1866,1
1867,4
1868,3
1869,1
1870,4
1871,0
1872,1
1873,3
1874,1
1875,2
1876,2
1877,1
1878,3
1879,2
1880,0
1881,3
1882,2
1883,3
1884,2
1885,1
1886,4
1887,2
1888,1
1889,3
1890,1
1891,2
1892,0
1893,0
1894,1
1895,3
1896,3
1897,3
1898,2
1899,2
1900,0
1901,1
1902,3
1903,1
1904,0
1905,0
1906,1
1907,2
1908,1
1909,1
1910,2
1911,2
1912,4
1913,2
1914,1
1915,2
1916,3
1917,3
1918,1
1919,1
1920,1
1921,4
1922,1
1923,2
1924,3
1925,3
1926,1
1927,3
1928,3
1929,2
1930,1
1931,0
1932,3
1933,4
1934,0
1935,3
1936,2
1937,3
1938,2
1939,1
1940,1
1941,0
1942,2
1943,2
1944,1
1945,3
1946,2
1947,4
1948,3
1949,1
1950,2
1951,3
1952,4
1953,2
1954,3
1955,1
1956,3
1957,0
1958,4
1959,1
1960,1
1961,4
1962,3
1963,0
1964,2
1965,1
1966,1
1967,0
1968,1
1969,3
1970,2
1971,2
1972,4
1973,0
1974,3
1975,3
1976,3
1977,1
1978,0
1979,3
1980,4
1981,3
1982,1
1983,1
1984,4
1985,1
1986,3
1987,3
1988,2
1989,1
1990,3
1991,1
1992,2
1993,3
1994,4
1995,4
1996,0
1997,3
1998,1
1999,3
2000,2
2001,2
2002,4
2003,1
2004,1
2005,0
2006,0
2007,3
2008,0
2009,1
2010,3
2011,4
2012,3
2013,1
2014,2
2015,2
2016,1
2017,3
2018,2
2019,3
2020,3
2021,1
2022,1
2023,1
2024,1
2025,4
2026,4
2027,2
2028,2
2029,1
2030,4
2031,3
2032,3
2033,3
2034,0
2035,3
2036,1
2037,3
2038,1
2039,1
2040,1
2041,1
2042,2
2043,4
2044,1
2045,4
2046,3
2047,3
2048,4
2049,1
2050,2
2051,3
2052,3
2053,2
2054,1
2055,1
2056,0
2057,2
2058,1
2059,2
2060,2
2061,0
2062,1
2063,2
2064,4
2065,3
2066,0
2067,4
2068,4
2069,2
2070,3
2071,2
2072,3
2073,4
2074,3
2075,2
2076,3
2077,3
2078,1
2079,3
2080,1
2081,3
2082,4
2083,2
2084,1
2085,1
2086,3
2087,1
2088,2
2089,0
2090,1
2091,3
2092,1
2093,1
2094,1
2095,1
2096,0
2097,1
2098,0
2099,4
2100,4
2101,1
2102,0
2103,4
2104,3
2105,4
2106,1
2107,3
2108,4
2109,1
2110,1
2111,3
2112,2
2113,3
2114,4
2115,2
2116,3
2117,4
2118,4
2119,4
2120,3
2121,4
2122,0
2123,4
2124,3
2125,2
2126,2
2127,2
2128,0
2129,2
2130,2
2131,3
2132,2
2133,2
2134,1
2135,1
2136,4
2137,0
2138,2
2139,4
2140,4
2141,2
2142,3
2143,3
2144,1
2145,4
2146,3
2147,3
2148,4
2149,1
2150,4
2151,3
2152,4
2153,2
2154,1
2155,1
2156,4
2157,1
2158,3
2159,3
2160,4
2161,4
2162,4
2163,1
2164,1
2165,4
2166,2
2167,4
2168,3
2169,2
2170,4
2171,1
2172,4
2173,3
2174,1
2175,3
2176,3
2177,1
2178,3
2179,1
2180,1
2181,4
2182,1
2183,2
2184,1
2185,1
2186,4
2187,3
2188,3
2189,1
2190,3
2191,1
2192,0
2193,1
2194,2
2195,2
2196,2
2197,1
2198,1
2199,3
2200,1
2201,0
2202,0
2203,0
2204,1
2205,3
2206,1
2207,4
2208,2
2209,3
2210,1
2211,0
2212,3
2213,4
2214,4
2215,0
2216,0
2217,4
2218,1
2219,4
2220,1
2221,4
2222,4
2223,3
2224,1
2225,1
2226,1
2227,3
2228,3
2229,1
2230,1
2231,2
2232,2
2233,3
2234,1
2235,3
2236,2
2237,3
2238,4
2239,2
2240,4
2241,2
2242,0
2243,2
2244,2
2245,3
2246,2
2247,2
2248,2
2249,4
2250,4
2251,3
2252,0
2253,3
2254,1
2255,2
2256,2
2257,1
2258,1
2259,3
2260,2
2261,1
2262,2
2263,2
2264,2
2265,3
2266,1
2267,0
2268,4
2269,3
2270,3
2271,3
2272,4
2273,4
2274,4
2275,2
2276,1
2277,1
2278,4
2279,3
2280,1
2281,3
2282,0
2283,1
2284,1
2285,4
2286,4
2287,1
2288,1
2289,1
2290,2
2291,3
2292,2
2293,4
2294,3
2295,3
2296,4
2297,0
2298,4
2299,2
2300,3
2301,0
2302,3
2303,3
2304,1
2305,2
2306,3
2307,1
2308,1
2309,1
2310,1
2311,1
2312,3
2313,1
2314,3
2315,1
2316,4
2317,2
2318,1
2319,4
2320,4
2321,1
2322,0
2323,3
2324,2
2325,4
2326,0
2327,2
2328,1
2329,1
2330,3
2331,3
2332,3
2333,0
2334,4
2335,3
2336,1
2337,3
